"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"23/03/2026 13:30:00 - 23/03/2026 13:45:00","BZN|BE","Without Sequence","66.19","",""
"23/03/2026 13:45:00 - 23/03/2026 14:00:00","BZN|BE","Without Sequence","72.33","",""
"23/03/2026 14:00:00 - 23/03/2026 14:15:00","BZN|BE","Without Sequence","65.42","",""
"23/03/2026 14:15:00 - 23/03/2026 14:30:00","BZN|BE","Without Sequence","74.15","",""
"23/03/2026 14:30:00 - 23/03/2026 14:45:00","BZN|BE","Without Sequence","83.51","",""
"23/03/2026 14:45:00 - 23/03/2026 15:00:00","BZN|BE","Without Sequence","76.29","",""
"23/03/2026 15:00:00 - 23/03/2026 15:15:00","BZN|BE","Without Sequence","69.61","",""
"23/03/2026 15:15:00 - 23/03/2026 15:30:00","BZN|BE","Without Sequence","79.38","",""
"23/03/2026 15:30:00 - 23/03/2026 15:45:00","BZN|BE","Without Sequence","88.27","",""
"23/03/2026 15:45:00 - 23/03/2026 16:00:00","BZN|BE","Without Sequence","99.55","",""
"23/03/2026 16:00:00 - 23/03/2026 16:15:00","BZN|BE","Without Sequence","74.33","",""
"23/03/2026 16:15:00 - 23/03/2026 16:30:00","BZN|BE","Without Sequence","102.58","",""
"23/03/2026 16:30:00 - 23/03/2026 16:45:00","BZN|BE","Without Sequence","114.41","",""
"23/03/2026 16:45:00 - 23/03/2026 17:00:00","BZN|BE","Without Sequence","136.26","",""
"23/03/2026 17:00:00 - 23/03/2026 17:15:00","BZN|BE","Without Sequence","106.92","",""
"23/03/2026 17:15:00 - 23/03/2026 17:30:00","BZN|BE","Without Sequence","141.06","",""
"23/03/2026 17:30:00 - 23/03/2026 17:45:00","BZN|BE","Without Sequence","161.27","",""
"23/03/2026 17:45:00 - 23/03/2026 18:00:00","BZN|BE","Without Sequence","216.83","",""
"23/03/2026 18:00:00 - 23/03/2026 18:15:00","BZN|BE","Without Sequence","155.61","",""
"23/03/2026 18:15:00 - 23/03/2026 18:30:00","BZN|BE","Without Sequence","189.37","",""
"23/03/2026 18:30:00 - 23/03/2026 18:45:00","BZN|BE","Without Sequence","214.46","",""
"23/03/2026 18:45:00 - 23/03/2026 19:00:00","BZN|BE","Without Sequence","276.86","",""
"23/03/2026 19:00:00 - 23/03/2026 19:15:00","BZN|BE","Without Sequence","224.66","",""
"23/03/2026 19:15:00 - 23/03/2026 19:30:00","BZN|BE","Without Sequence","234.38","",""
"23/03/2026 19:30:00 - 23/03/2026 19:45:00","BZN|BE","Without Sequence","234.94","",""
"23/03/2026 19:45:00 - 23/03/2026 20:00:00","BZN|BE","Without Sequence","217.40","",""
"23/03/2026 20:00:00 - 23/03/2026 20:15:00","BZN|BE","Without Sequence","238.26","",""
"23/03/2026 20:15:00 - 23/03/2026 20:30:00","BZN|BE","Without Sequence","198.33","",""
"23/03/2026 20:30:00 - 23/03/2026 20:45:00","BZN|BE","Without Sequence","174.31","",""
"23/03/2026 20:45:00 - 23/03/2026 21:00:00","BZN|BE","Without Sequence","162.47","",""
"23/03/2026 21:00:00 - 23/03/2026 21:15:00","BZN|BE","Without Sequence","195.22","",""
"23/03/2026 21:15:00 - 23/03/2026 21:30:00","BZN|BE","Without Sequence","166.71","",""
"23/03/2026 21:30:00 - 23/03/2026 21:45:00","BZN|BE","Without Sequence","146.27","",""
"23/03/2026 21:45:00 - 23/03/2026 22:00:00","BZN|BE","Without Sequence","133.82","",""
"23/03/2026 22:00:00 - 23/03/2026 22:15:00","BZN|BE","Without Sequence","154.06","",""
"23/03/2026 22:15:00 - 23/03/2026 22:30:00","BZN|BE","Without Sequence","138.93","",""
"23/03/2026 22:30:00 - 23/03/2026 22:45:00","BZN|BE","Without Sequence","151.99","",""
"23/03/2026 22:45:00 - 23/03/2026 23:00:00","BZN|BE","Without Sequence","147.72","",""
"23/03/2026 23:00:00 - 23/03/2026 23:15:00","BZN|BE","Without Sequence","152.94","",""
"23/03/2026 23:15:00 - 23/03/2026 23:30:00","BZN|BE","Without Sequence","130.99","",""
"23/03/2026 23:30:00 - 23/03/2026 23:45:00","BZN|BE","Without Sequence","133.53","",""
"23/03/2026 23:45:00 - 24/03/2026 00:00:00","BZN|BE","Without Sequence","115.77","",""
